,close,high,low,open,time,volumefrom,volumeto,timestamp
0,129.32,134.29,128.07,133.51,1521896400,19923.88,2609924.03,2018-03-24 15:00:00
1,123.03,132.29,119.89,129.32,1521982800,50810.82,6366591.95,2018-03-25 16:00:00
2,113.27,123.27,111.25,123.03,1522069200,89284.47,10398395.82,2018-03-26 16:00:00
3,110.63,117.9,106.76,113.33,1522155600,65663.47,7347688.4,2018-03-27 16:00:00
4,97.22,112.09,94.66,110.63,1522242000,93923.84,9590154.98,2018-03-28 16:00:00
5,97.41,102.81,89.07,97.22,1522328400,168961.68,16196992.93,2018-03-29 16:00:00
6,98.71,101.06,91.42,97.41,1522414800,79514.19,7609724.21,2018-03-30 16:00:00
7,91.47,98.76,90.13,98.71,1522501200,44381.3,4182952.89,2018-03-31 16:00:00
8,97.11,98.51,89.04,91.47,1522587600,60865.11,5701185.84,2018-04-01 16:00:00
9,101.52,102.03,94.81,97.11,1522674000,54853.53,5391717.6,2018-04-02 16:00:00
10,98.93,112.13,97.29,101.52,1522760400,114586.77,12074347.48,2018-04-03 16:00:00
11,95.1,100.74,92.98,98.93,1522846800,80553.92,7755324.98,2018-04-04 16:00:00
12,93.42,100.17,91.75,95.1,1522933200,57023.34,5439395.15,2018-04-05 16:00:00
13,95.67,96.69,91.36,93.35,1523019600,32068.7,3020158.75,2018-04-06 16:00:00
14,96.16,97.17,93.21,95.59,1523106000,33134.04,3159949.13,2018-04-07 16:00:00
15,93.41,99.76,92.59,96.16,1523192400,53059.11,5114842.85,2018-04-08 16:00:00
16,92.12,93.59,90.63,93.41,1523278800,31560.87,2916976.36,2018-04-09 16:00:00
17,92.34,93.33,91.63,92.12,1523365200,18556.42,1716073.06,2018-04-10 16:00:00
18,99.63,103.11,91.78,92.34,1523451600,102268.59,9916205.87,2018-04-11 16:00:00
19,108.32,108.85,96.66,99.63,1523538000,118899.84,12241562.99,2018-04-12 16:00:00
20,101.18,108.5,100.44,108.32,1523624400,69386.66,7237329.28,2018-04-13 16:00:00
21,107.23,108.05,101.18,101.18,1523710800,33620.32,3531675.68,2018-04-14 16:00:00
22,101.97,107.91,101.91,107.23,1523797200,48519.01,5090922.19,2018-04-15 16:00:00
23,111.2,113.22,101.12,101.97,1523883600,72832.71,7842154.98,2018-04-16 16:00:00
24,111.01,113.4,106.77,111.2,1523970000,57348.06,6313337.77,2018-04-17 16:00:00
25,114.18,114.94,108.5,111.01,1524056400,40443.73,4548108.74,2018-04-18 16:00:00
26,122.34,123.8,114.06,114.18,1524142800,77381.66,9203790.34,2018-04-19 16:00:00
27,118.5,127.72,114.79,122.34,1524229200,98909.17,12080587.0,2018-04-20 16:00:00
28,122.33,124.73,116.84,118.5,1524315600,52089.96,6310189.82,2018-04-21 16:00:00
29,124.21,124.97,118.85,122.33,1524402000,43822.45,5364481.7,2018-04-22 16:00:00
30,124.3,124.3,124.21,124.21,1524488400,0.0,0.0,2018-04-23 16:00:00
