,close,high,low,open,time,volumefrom,volumeto,timestamp
0,337.46,366.56,332.01,360.96,1521896400,985.11,344880.63,2018-03-24 15:00:00
1,314.77,347.5,310.9,337.46,1521982800,1204.37,397555.43,2018-03-25 16:00:00
2,298.17,317.51,283.85,314.77,1522069200,2114.27,638279.21,2018-03-26 16:00:00
3,292.25,305.52,274.61,298.21,1522155600,973.14,287839.18,2018-03-27 16:00:00
4,262.93,294.64,258.98,292.21,1522242000,1553.3,432952.55,2018-03-28 16:00:00
5,264.27,279.97,250.08,262.93,1522328400,3209.48,849267.86,2018-03-29 16:00:00
6,264.33,265.57,243.06,264.27,1522414800,1938.85,490858.66,2018-03-30 16:00:00
7,235.67,264.33,228.9,264.33,1522501200,5848.2,1465043.76,2018-03-31 16:00:00
8,247.93,252.03,229.85,235.67,1522587600,3253.92,779824.4,2018-04-01 16:00:00
9,273.26,273.49,236.37,247.93,1522674000,2528.59,653713.93,2018-04-02 16:00:00
10,255.23,279.02,251.78,273.26,1522760400,2907.57,788059.37,2018-04-03 16:00:00
11,247.52,257.93,235.98,255.23,1522846800,2927.87,723935.94,2018-04-04 16:00:00
12,236.35,253.62,226.94,247.52,1522933200,2953.18,707817.78,2018-04-05 16:00:00
13,241.64,247.74,222.87,236.35,1523019600,1895.35,443721.18,2018-04-06 16:00:00
14,243.04,249.45,236.13,241.64,1523106000,1354.69,329214.81,2018-04-07 16:00:00
15,242.44,263.34,241.28,243.04,1523192400,2100.34,531244.02,2018-04-08 16:00:00
16,244.62,247.42,228.3,242.44,1523278800,1024.33,247054.4,2018-04-09 16:00:00
17,243.66,245.03,235.1,244.44,1523365200,3158.67,756888.6,2018-04-10 16:00:00
18,278.97,278.97,234.33,243.66,1523451600,3244.67,832818.76,2018-04-11 16:00:00
19,316.07,317.39,267.9,278.96,1523538000,5453.4,1548069.79,2018-04-12 16:00:00
20,288.0,317.56,283.01,316.07,1523624400,2216.95,660999.86,2018-04-13 16:00:00
21,312.16,313.86,287.8,288.0,1523710800,597.09,179008.53,2018-04-14 16:00:00
22,291.35,316.05,285.28,312.16,1523797200,1696.59,510917.13,2018-04-15 16:00:00
23,303.95,304.48,271.36,291.35,1523883600,1940.88,571505.73,2018-04-16 16:00:00
24,319.89,319.89,282.11,303.95,1523970000,1439.82,434153.61,2018-04-17 16:00:00
25,336.98,346.95,306.62,319.88,1524056400,2494.13,822086.5,2018-04-18 16:00:00
26,363.85,367.8,316.32,336.98,1524142800,3459.62,1196421.19,2018-04-19 16:00:00
27,358.87,379.92,344.56,363.98,1524229200,2652.88,962810.41,2018-04-20 16:00:00
28,380.57,390.49,341.76,358.87,1524315600,1732.96,631209.32,2018-04-21 16:00:00
29,395.94,395.94,370.17,380.57,1524402000,1406.29,537857.59,2018-04-22 16:00:00
30,392.37,395.96,387.57,395.94,1524488400,29.03,11312.98,2018-04-23 16:00:00
